Swimmer,records,id
All swimmers,2359,
A. Violas,1,1
Aaron Peirsol,18,2
Ada den Haan,8,3
Ada Kok,8,4
Adam Peaty,5,5
Adelaide Lambert,2,6
Adolph Kiefer,3,7
Adrian Moorhouse,3,8
Akihiro Yamaguchi,1,9
Al Vande Weghe,1,10
Alain Bernard,5,11
Alain Gottvallès,2,12
Alain Mosconi,2,13
Alajos Kenyery,1,14
Alan Ford,3,15
Alan Somers,1,16
Albina Osipowich,3,17
Aldo Eminente,1,18
Aleksandr Sidorenko,1,19
Alex Baumann,5,20
Alex Jany,5,21
Alexander Dzhaburiya,1,22
Alexander Popov,2,23
Alexander Schowtka,1,24
Alfred Nakache,1,25
Alice Browne,1,26
Alice Jones,3,27
Alice Mills,1,28
Allen Stack,2,29
Allison Higson,1,30
Allison Schmitt,1,31
Alva Colquhoun,1,32
Amanda Beard,2,33
Amanda Reason,1,34
Amy Van Dyken,1,35
Anastasia Zuyeva,2,36
András Hargitay,1,37
András Székely,1,38
András Wanié,1,39
Andrea Eife,2,40
Andrea Gyarmati,1,41
Andrea Hubner,2,42
Andrea Pollack,7,43
Andreas Schmidt,1,44
Andrei Dunayev,1,45
Andriy Serdinov,1,46
Andy Coan,3,47
Angel Martino,1,48
Angela Franke,1,49
Anita Lonsbrough,3,50
Anita Nall,3,51
Anke Möhring,2,52
Ann Bancroft,1,53
Ann Farlie,1,54
Ann Marshall,1,55
Ann Simmons,1,56
Anna-Karin Kammerling,3,57
Annamay Pierse,1,58
Anne Jardin,1,59
Anne-Katrin Schott,1,60
Annemarie Verstappen,1,61
Anni Kapell,1,62
Annie Speirs,1,63
Annie Timmermans,1,64
Annika Liebs,1,65
Annika Lurz,1,66
Anthony Robinson,1,67
Antje Stille,2,68
Ariana Kukors,2,69
Arne Borg,10,70
Árpád Lengyel,1,71
Artur Wojdat,1,72
Aschwin Wildeboer,1,73
Ashley Callus,1,74
Astrid Strauss,3,75
Atie Voorbij,5,76
Atsushi Tani,1,77
August Heitmann,1,78
Austin Clapp,2,79
Barbara Bedford,1,80
Barbara Göbel,2,81
Barbara Jackson,1,82
Barbara Krause,9,83
Becky Collins,4,84
Béla Las-Torres,1,85
Belle Moore,1,86
Ben Wildman-Tobriner,1,87
Betsy Mitchell,1,88
Bill Barrett,1,89
Bill Craig,2,90
Bill Devenish,1,91
Bill Forrester,1,92
Bill Frawley,1,93
Bill Kirby,3,94
Bill Mettler,1,95
Bill Smith,4,96
Birgit Meineke,5,97
Birgit Treiber,4,98
Birte Ove-Petersen,2,99
Bob Bennett,2,100
Bob Skelton,1,101
Bob Windle,1,102
Bobby Hackett,2,103
Boris Nikitin,1,104
Boy Charlton,4,105
Brad Cooper,2,106
Brendan Hansen,9,107
Brenton Rickard,1,108
Brian Goodell,5,109
Brian Job,1,110
Brian Wilkinson,2,111
Brita Hazelius,1,112
Britta Steffen,8,113
Brittany Elmslie,1,114
Bronte Barratt,1,115
Bronte Campbell,2,116
Bruce Furniss,10,117
Bruce Hayes,2,118
Bruce Stahl,1,119
Cameron van der Burgh,5,120
Caren Metschuck,2,121
Carin Cone,1,122
Carl Robie,4,123
Carly Piper,1,124
Carola Nitschke,2,125
Carolyn House,2,126
Carolyn Schuler,1,127
Carolyn Wood,1,128
Cate Campbell,3,129
Catherina Wagner,1,130
Cathy Calhoun,1,131
Cathy Carr,2,132
Cathy Ferguson,4,133
Catie Ball,9,134
Cecil Healy,2,135
César Cielo,2,136
Charles Campbell,1,137
Charles Daniels,3,138
Charles Hickcox,1,139
Charlie Hickcox,8,140
Charlotte Boyle,1,141
Charlotte Mühe,2,142
Chen Huijia,1,143
Chen Yan,1,144
Chet Jastremski,12,145
Chris Cavanaugh,4,146
Chris Fydler,1,147
Chris Jacobs,2,148
Chris von Saltza,5,149
Chris Woo,1,150
Christel Justen,1,151
Christian Sprenger,1,152
Christiane Knacke,1,153
Christine Gosden,1,154
Chuck Bittick,1,155
Cindy Schilling,1,156
Claire Guttenstein,1,157
Clare Dennis,1,158
Claudia Clevenger,1,159
Claudia Hempel,1,160
Claudia Kolb,11,161
Cocky Gastelaars,6,162
Cor Kint,2,163
Cornelia Sirch,2,164
Courtney Shealy,1,165
Craig Beardsley,2,166
Crissy Ahmann-Leighton,1,167
Cullen Jones,3,168
Cynthia Goyette,2,169
Cynthia Woodhead,5,170
Dai Guohong,1,171
Daisy Curwen,2,172
Dana Vollmer,4,173
Dániel Gyurta,1,174
Daniel Kowalski,1,175
Daniela Götz,1,176
Daniela Samulski,3,177
Dano Halsall,1,178
Dara Torres,6,179
Darian Townsend,1,180
Dave Fairbank,1,181
Dave Gillanders,1,182
David Berkoff,4,183
David Dickson,1,184
David Edgar,2,185
David Fox,1,186
David Larson,2,187
David Lyons,1,188
David McCagg,2,189
David Theile,1,190
David Walters,2,191
David Wharton,2,192
David Wilkie,3,193
David Young,1,194
Dawn Fraser,19,195
Debbie Meyer,15,196
Deena Deardurff,2,197
Denis Pankratov,4,198
Dennis Rounsaville,1,199
Diana Wilkinson,1,200
Dick Blick,1,201
Dick Cleveland,1,202
Dick Hanley,1,203
Dick Roth,4,204
Dick Thoman,2,205
Dimitri Komornikov,1,206
Dmitry Lepikov,1,207
Don Havens,2,208
Don McKenzie,1,209
Don Schollander,21,210
Don Sheff,2,211
Donna de Varona,16,212
Doug Gjertsen,1,213
Doug Northway,1,214
Doug Russell,4,215
Duke Kahanamoku,5,216
Duncan Armstrong,1,217
E. Van Den Bogaert,3,218
Eamon Sullivan,5,219
Ed Moses,3,220
Ed Townsend,4,221
Edith Mayne,1,222
Edith Wetzel,1,223
Edward Askamp,1,224
Edward Hueber,1,225
Edward Pope,2,226
Egon Henninger,1,227
Elaine Tanner,3,228
Eleanor Bricker,1,229
Eleanor Garatti,3,230
Eleanor Holm,3,231
Elke Sehmisch,2,232
Ellie Daniel,5,233
Else Jacobsen,2,234
Elton Follett,1,235
Elvi Svendsen,1,236
Emily Seebohm,3,237
Emma McKeon,2,238
Eric Shanteau,1,239
Erica Terpstra,1,240
Erich Rademacher,3,241
Erna Murray,1,242
Ernst-Joachim Küppers,1,243
Erwin Sietas,1,244
Ethel Lackie,2,245
Ethel McGary,3,246
Ethelda Bleibtrey,4,247
Euphrasia Donnelly,1,248
Eva Arndt,1,249
Eva Novak,2,250
Éva Novák,2,251
Eva Pajor,1,252
Éva Székely,4,253
Faith Leech,2,254
Fanny Durack,4,255
Federica Pellegrini,9,256
Félicien Courbet,1,257
Felipe França,1,258
Femke Heemskerk,2,259
Ferenc Csik,3,260
Ford Konno,3,261
Frances Schroth,1,262
Francis Luyce,1,263
Francoise Derommeleere,1,264
Frank Beaurepaire,1,265
Frank Brunnell,1,266
Frank Dooley,1,267
Frank Heckl,2,268
Frank Lilley,1,269
Frank McKinney,4,270
Frank Wiegand,2,271
Franziska van Almsick,3,272
Fred Schmidt,3,273
Fred Tyler,2,274
Freddy Lane,1,275
Frédérick Bousquet,1,276
Frederick Holman,1,277
Frederik Deburghgraeve,1,278
Friedrich Berger,1,279
G. Kuvaldin,1,280
Gabriele Wetzko,1,281
Gail Neall,1,282
Galina Prozumenshchikova,5,283
Garrett Weber-Gale,1,284
Gary Chapman,1,285
Gary Conelly,1,286
Gary Hall,1,287
"Gary Hall, Jr.",3,288
"Gary Hall, Sr.",10,289
Gary Heinrich,2,290
Gary Ilman,3,291
Geertje Wielema,2,292
Gemma Spofforth,1,293
Gennadi Nikolayev,1,294
Geoff Gaberino,1,295
Geoff Huegill,2,296
Geoff Shipton,1,297
George Arnold,1,298
George Breen,4,299
George Harrison,4,300
George Hodgson,2,301
George Kojac,2,302
Georgy Prokopenko,2,303
Gerald Mörken,1,304
Gerard Gropaiz,1,305
Gerhard Hetz,2,306
Gertrude Ederle,5,307
Giaan Rooney,1,308
Gilbert Bozon,3,309
Giorgio Lamberti,1,310
Göran Larsson,2,311
Graham Smith,2,312
Graham White,1,313
Graham Windeatt,1,314
Grant Hackett,5,315
Greetje Kraan,2,316
Greg Buckingham,4,317
Greg Charlton,2,318
Greg Rogers,1,319
Grete Frederiksen,1,320
Gudrun Wegner,1,321
Guillermo Echevarria,1,322
Gunnar Larsson,3,323
Gunter Tittes,1,324
Gunvor Kraft,2,325
Gustaf Hellsing,3,326
György Tumpek,1,327
Gyula Dienes,1,328
Gyula Zolyomi,2,329
H. Negami,1,330
Hakan Westesson,1,331
Hannelore Anke,3,332
Hans Freese,1,333
Hans-Joachim Fassnacht,2,334
Hans-Joachim Klein,1,335
Harold Hardwick,2,336
Harry Glancy,1,337
Harry Hebner,1,338
Harry Holiday,1,339
Hayley McGregory,2,340
He Cihong,2,341
Heather Greenwood,1,342
Heidi Pechstein,1,343
Heike Friedrich,5,344
Helen Johns,1,345
Helen Wainwright,1,346
Helene Madison,8,347
Helmuth Fischer,1,348
Henry Taylor,4,349
Herbert Heinrich,1,350
Herbert Klein,1,351
Hermann Heibel,1,352
Hermann Pentz,1,353
Hetty Balkenende,1,354
Hideko Maehata,1,355
Hilda James,1,356
Hironoshin Furuhashi,8,357
Hiroshi Suzuki,1,358
Hisakichi Toyoda,1,359
Horst-Gunther Gregor,1,360
Howard Johnson,3,361
Ian Black,1,362
Ian Crocker,7,363
Ian O'Brien,1,364
Ian Thorpe,18,365
Iet van Feggelen,2,366
Igor Polyansky,4,367
Ilona Novák,1,368
Ilsa Konrads,7,369
Ina Kleber,3,370
Ines Diers,1,371
Ines Geißler,3,372
Inge de Bruijn,12,373
Inge Dekker,2,374
Ingrid Schmidt,1,375
Irene Gilbert,1,376
Irene Guest,1,377
Irene Steer,1,378
Iris Komar,1,379
István Bárány,1,380
Istvan Korosi,2,381
J. Blum,1,382
Jack Babashoff,3,383
Jack Hatfield,1,384
Jack Kasley,1,385
Jack Medica,2,386
Jack Wardrop,1,387
Jacques Cartonnet,2,388
Jade Edmistone,2,389
Jan Henne,1,390
Jane Barkman,3,391
Jane Cederqvist,2,392
Janet Evans,7,393
Jani Sievinen,1,394
Janice Andrew,1,395
Janine Pietsch,1,396
Jans Koster,2,397
Jason Lezak,6,398
Jean Boiteux,1,399
Jean Taris,4,400
Jean-Pierre Curtillet,1,401
Jed Graef,1,402
Jeff Farrell,3,403
Jeff Float,1,404
Jeff Rouse,5,405
Jennie Fletcher,1,406
Jennifer Turrall,7,407
Jenny Kemp,1,408
Jenny Thompson,6,409
Jens-Peter Berndt,1,410
Jeremy Linn,1,411
Jeremy Reingold,1,412
Jerry Heidenreich,6,413
Jesse Vassallo,3,414
Jessica Hardy,4,415
Jessicah Schipper,5,416
Jiao Liuyang,1,417
Jill Sterkel,5,418
Jim McConica,1,419
Jim Montgomery,11,420
Jimmy McLane,2,421
Jo Harshbarger,4,422
Joachim Rademacher,1,423
Joan Spillane,1,424
Joanne Jackson,1,425
Jodie Henry,3,426
Joe Alkire,1,427
Joe Bottom,7,428
Joe Hudepohl,1,429
Joe Verdeur,6,430
Johanna Malloy,1,431
John Bennett,1,432
John Derbyshire,1,433
John Devitt,6,434
John Ferris,1,435
John Hencken,13,436
John Kinsella,4,437
John Konrads,14,438
John Marshall,4,439
John McGill,1,440
John Moffet,2,441
John Monckton,5,442
John Murphy,2,443
John Naber,6,444
John Nelson,1,445
Johnny Weissmuller,11,446
Joke de Korte,2,447
Jon Henricks,3,448
Jon Olsen,2,449
Jon Sieben,1,450
Jonty Skinner,2,451
Jopie Selbach,2,452
Jopie van Alphen,1,453
Jopie Waalberg,3,454
Jörg Hoffmann,1,455
Jose Fiolo,1,456
Joseph Bernardo,1,457
Josephine McKim,3,458
Josette Arene,1,459
Judit Temes,2,460
Judy Grinham,1,461
Judy Haroun,2,462
Julian Arene,1,463
K Kenjo,1,464
Kaitlin Sandeno,1,465
Karen König,1,466
Karen Moe,4,467
Karen Moras,3,468
Karen Muir,7,469
Karin Beyer,2,470
Karin Breyer,1,471
Karla Linke,2,472
Károly Güttler,1,473
Katalin Szőke,4,474
Kate Ziegler,1,475
Kathy Ellis,4,476
Kathy Heddy,1,477
Kathy Seidel,1,478
Katie Hoff,3,479
Katie Ledecky,13,480
Katinka Hosszú,2,481
Katrin Meissner,1,482
Katsuki Ishikara,1,483
Kaye Hall,2,484
Kazuo Tomita,1,485
Keena Rothhammer,2,486
Keiji Hase,1,487
Kelly Asplund,1,488
Ken Huszagh,1,489
Ken Merten,1,490
Ken Walsh,6,491
Kendis Moore,2,492
Kevin Berry,5,493
Kevin O'Halloran,1,494
Kieren Perkins,8,495
Kim Brecht,1,496
Kim Linehan,2,497
Kim Peyton,4,498
Kirsty Coventry,4,499
Klara Killermann,3,500
Klaus Katzur,1,501
Klaus Steinbach,1,502
Klenie Bimolt,1,503
Klete Keller,1,504
Knud Gleie,1,505
Kornelia Ender,29,506
Kosuke Kitajima,5,507
Kristin Otto,6,508
Krisztina Egerszegi,2,509
Kurt Bretting,1,510
Kurt Krumpholz,2,511
Kurt von Eckenbrecher,1,512
Kylie Palmer,1,513
L. Munson,1,514
Lacey Nymeyer,1,515
Lance Larson,5,516
Lary Schulhof,1,517
László Szabados,1,518
Laura Fritz,1,519
Laure Manaudou,3,520
Le Jingyi,4,521
Le Ying,1,522
Lea Loveless,1,523
Leila Vaziri,2,524
Leisel Jones,10,525
Lenie de Nijs,4,526
Lennart Brock,3,527
Lenny Krayzelburg,4,528
Lenore Kight,2,529
Leonid Kolesnikov,1,530
Leslie Boardman,2,531
Lev Balandin,4,532
Li Yang,1,533
Li Zhesi,1,534
Liam Tancock,3,535
Libby Lenton,5,536
Libby Trickett,3,537
Lillian Watson,2,538
Lin Li,1,539
Lina Kachushite,3,540
Linda Gustavson,3,541
Linda Jezek,1,542
Linda Johnson,2,543
Linda Mackenzie,1,544
Lionel Spence,2,545
Lisa Rocke,1,546
Liu Jing,1,547
Liu Limin,1,548
Liu Zige,2,549
Lorraine Crapp,11,550
Lü Bin,1,551
Luis Nicolao,2,552
Lutz Unger,1,553
Lyndon Ferns,1,554
Lynn Burke,2,555
Lynn Vidali,2,556
Lynne Allsup,1,557
Magda Hunyadfi,2,558
Mai Nakamura,1,559
Makoto Fukui,3,560
Malcolm Champion,2,561
Mamoru Tanaka,1,562
Manabu Koga,2,563
Manuel dos Santos,1,564
Manuela Stellmach,3,565
Margaret Gibson,2,566
Margaret Hoelzer,1,567
Margaret Woodbridge,1,568
Margareta Rylander,1,569
Margery Hinton,1,570
Maria Lenk,1,571
Mária Littomericzky,2,572
Maria van Velsen,1,573
Marianne Heemskerk,1,574
Marie Braun,1,575
Marie-Helene Andre,1,576
Mariechen Wehselau,2,577
Marilyn Ramenofsky,3,578
Marina Koshevaia,1,579
Mark Henderson,1,580
Mark Lambert,1,581
Mark Spitz,30,582
Marleen Veldhuis,5,583
Martha Gerstung,1,584
Martha Norelius,9,585
Martha Randall,3,586
Martin Zubero,2,587
Mary Descenza,1,588
Mary Kok,2,589
Mary Stewart,2,590
Mary T. Meagher,7,591
Masaharu Taguchi,1,592
Masanori Yusa,3,593
Masaru Furukawa,6,594
Matt Biondi,13,595
Matt Cetlinski,1,596
Matt Grevers,1,597
Matt Gribble,3,598
Matt Vogel,1,599
Matt Welsh,1,600
Matthew Dunn,1,601
Maurice Lusien,1,602
Maurice Wechesser,1,603
Mayumi Aoki,2,604
Megan Quann,1,605
Melanie Schlanger,1,606
Melissa Belote,4,607
Melvin Stewart,1,608
Michael Burton,5,609
Michael Gross,12,610
Michael Klim,9,611
Michael Phelps,37,612
Michael Wall,2,613
Michael Wenden,1,614
Michelle Ford,2,615
Mietje Baron,2,616
Mike Austin,1,617
Mike Barrowman,6,618
Mike Bruner,3,619
Mike Burton,2,620
Mike Heath,3,621
Mike Stamm,2,622
Mike Troy,9,623
Mike Wenden,1,624
Mike Weston,1,625
Milorad Čavić,1,626
Missy Franklin,2,627
Monika Seltmann,2,628
Murray Rose,8,629
N. Schoenman,1,630
Nadja Bergknecht,1,631
Nancy Garapick,1,632
Nancy Ramey,3,633
Nancy Ryan,1,634
Natalie Coughlin,7,635
Nathan Adrian,1,636
Neil Walker,1,637
Nel van Vliet,3,638
Nelson Diebel,1,639
Nick Gillingham,1,640
Nicole Haislett,1,641
Nida Senff,1,642
Nikolai Pankin,4,643
Nina Zhivanevskaya,1,644
Nobutaka Taguchi,2,645
Norbert Rózsa,3,646
Norman Ross,5,647
Novella Calligaris,1,648
Odette Lusien,1,649
Ödön Gróf,1,650
Ödön Grófe,1,651
Oleg Lisogor,1,652
Oscar Schiele,1,653
Otto Fahr,1,654
Otto Jaretz,1,655
Otto Scheff,1,656
Otto Wille,1,657
Otylia Jędrzejczak,2,658
Pablo Morales,5,659
Pam Carpinelli,1,660
Pam Kruse,3,661
Pang Jiaying,1,662
Pär Arvidsson,1,663
Patty Caretto,4,664
Patty Kempner,2,665
Paul Biedermann,2,666
Paul Hait,2,667
Paul Radmilovic,1,668
Paul Samson,1,669
Paul Wallace,1,670
Paul Wolf,1,671
Penelope Heyns,11,672
Per-Olof Östrand,2,673
Percy Courtman,1,674
Perry McGillivray,2,675
Peter Dahlberg,1,676
Peter Fick,4,677
Peter Rocca,1,678
Peter Sintz,4,679
Peter Sitt,1,680
Peter Szmidt,1,681
Peter Vanderkaay,2,682
Peter Williams,1,683
Petra Dallmann,3,684
Petra Schneider,5,685
Petra Thümer,5,686
Petria Thomas,2,687
Philippa Gould,1,688
Phyllis Harding,1,689
Pierre Dumesnil,2,690
Pieter van den Hoogenband,3,691
Pokey Watson,4,692
Pua Kealoha,1,693
Pyotr Skripchenkov,3,694
Qi Hui,1,695
R. Reid,1,696
Rafael Muñoz,1,697
Ragnhild Hveger,17,698
Rainer Henkel,1,699
Ralph Breyer,1,700
Ralph Hutton,1,701
Randall Bal,1,702
Ranomi Kromowidjojo,2,703
Ray Reid,1,704
Rebecca Adlington,1,705
Rebecca Brown,1,706
Rebecca Soni,5,707
Renate Vogel,4,708
Rex Favero,1,709
Ria van Velsen,1,710
Rica Reinisch,5,711
Ricardo Prado,1,712
Richard Kelly,1,713
Richard Klatt,1,714
Richard McDonough,2,715
Richard McGeagh,1,716
Richard Saeger,1,717
Rick Carey,9,718
Rick DeMont,3,719
Rick Schroeder,1,720
Ricky Berens,2,721
Rie Mastenbroek,3,722
Rie van Veen,1,723
Rika Bruins,2,724
Rikke Møller Pedersen,1,725
Rita Kroon,1,726
Robert Andersson,1,727
Robert Christophe,1,728
Robin Backhaus,1,729
Robin Leamy,2,730
Rod Strachan,1,731
Roger Pyttel,2,732
Roland Matthes,18,733
Roland Schoeman,3,734
Roman Sludnov,4,735
Ron Manganiello,1,736
Rosemarie Gabriel,3,737
Rosemarie Kother,8,738
Rowdy Gaines,11,739
Roy Dahl,1,740
Roy Saari,4,741
Russell Duncan,1,742
Rūta Meilutytė,2,743
Ryan Lochte,7,744
Ryan Murphy,1,745
Ryk Neethling,1,746
Rypsyma Székely,1,747
S. Isiharada,1,748
S. Maruyama,1,749
S. Murayama,2,750
Sabina Schulze,1,751
Sabine Schulze,1,752
Samantha Riley,1,753
Sandra Morgan,1,754
Sandra Völker,5,755
Sandy Neilson,3,756
Sarah Sjöström,6,757
Sarina Hülsenbeck,1,758
Satoko Tanaka,10,759
Scott McCadam,1,760
Semyon Belits-Geiman,1,761
Sergei Zabolotnov,1,762
Sergey Kopliakov,1,763
Shan Ying,1,764
Shane Gould,11,765
Sharon Finneran,5,766
Sharon Stouder,5,767
Shigeo Arai,1,768
Shigeo Sugiura,1,769
Shirley Babashoff,11,770
Shirley Stobs,1,771
Shiro Hashizume,3,772
Shozo Makino,6,773
Silke Hörner,4,774
Sophie Edington,2,775
Stephanie Elkins,1,776
Stephanie Rice,5,777
Stephen Holland,11,778
Stephen Krause,1,779
Stephen Rerych,2,780
Steve Clark,10,781
Steve Furniss,2,782
Steve Genter,2,783
Steve Lundquist,9,784
Sun Yang,2,785
Susan Doerr,1,786
Susan Laird,1,787
Susan Pedersen,2,788
Susan Pitt,1,789
Susie Atwood,4,790
Susie O'Neill,1,791
Svetlana Babanina,2,792
Svetlana Varganova,1,793
Sybil Bauer,2,794
Sydney Battersby,1,795
Sylvia Eichner,2,796
Sylvia Gerasch,4,797
Sylvia Ruuska,6,798
Takashi Hirose,1,799
Takashi Ishimoto,7,800
Takashi Yokoyama,1,801
Tamara Costache,4,802
Tamás Darnyi,6,803
Tatsuo Fujimoto,3,804
Ted Stickles,9,805
Tedford Cann,1,806
Terence Gathercole,1,807
Terri Stickles,2,808
Terry Gathercole,2,809
Therese Alshammar,2,810
Thomas Fahrner,2,811
Thomas Rupprath,1,812
Thompson Mann,3,813
Tim Shaw,11,814
Tineke Lagerberg,3,815
Todd Pearson,1,816
Tom Bruce,1,817
Tom Dolan,2,818
Tom Jager,7,819
Tom Malchow,1,820
Tom McBreen,3,821
Tom Stock,8,822
Tomikatsu Amano,1,823
Toru Goto,1,824
Toshio Irie,1,825
Toshizo Umemoto,1,826
Tracey Wickham,5,827
Tracy Caulkins,5,828
Troy Dalbey,2,829
Tsuyoshi Yamanaka,9,830
Udo Poser,1,831
Ulrike Richter,13,832
Ulrike Tauber,9,833
Ursula Küper,1,834
Ute Bruckner,1,835
Ute Geweniger,10,836
Ute Noack,1,837
Uwe Dassler,1,838
Valéria Gyenge,3,839
Vasili Ivanov,1,840
Veniamin Tayanovich,1,841
Victor Davis,3,842
Viktor Lopatin,1,843
Viktor Solovyov,2,844
Vitaly Sorokin,1,845
Vladimir Kosinsky,2,846
Vladimir Minashkin,4,847
Vladimir Pyshnenko,1,848
Vladimir Salnikov,13,849
Vladimir Strushanov,3,850
W. Farnsworth,1,851
Wally O'Connor,1,852
Wally Ris,1,853
Wally Wolf,1,854
Walter Laufer,4,855
Walter Richardson,1,856
Wayne Moore,1,857
Wendy Boglioli,1,858
Wendy Cook,1,859
Wendy Fordyce,1,860
Werner Birr,1,861
Werner Plath,1,862
William Farnsworth,1,863
William Foster,1,864
William Paulus,1,865
Willis Sanburn,1,866
Willy Blioch,1,867
Willy den Ouden,10,868
Wiltrud Urselmann,2,869
Wu Yanyan,1,870
Yana Klochkova,1,871
Yang Wenyi,2,872
Yang Yu,1,873
Yasuji Miyazaki,1,874
Ye Shiwen,1,875
Yevgeny Sadovyi,2,876
Yoshihiro Hamaguchi,2,877
Yoshiyuki Tsuruta,1,878
Yukiaki Okabe,1,879
Yuliya Bogdanova,2,880
Yuliya Yefimova,2,881
Yvonne Godard,1,882
Zac Zorn,4,883
Zhang Lin,1,884
Zhao Jing,3,885
Zhu Qianwei,1,886
Zoe Baker,1,887
Zoltán Halmay,2,888
Zoltán Kiss,1,889
Zoltán Verrasztó,1,890
Grand Total,2359,891
